Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.6849529780564263,0.7622259696458684,0.754325259515571,0.7554076539101497,0.7529812606473595
Macro-Precision,0.6460853494623656,0.6989644342585519,0.6736896061495816,0.7169504894797024,0.7243685630413319
Macro-Recall,0.5843282028145552,0.6924488248030745,0.6478042960951339,0.6868005354752342,0.6514570714453767
Macro-F1,0.5235956897584589,0.6600219905961672,0.5908405998680433,0.638170023644884,0.6081459522368328
Time (seconds),453.9803,619.0952,622.2721,619.1659,621.282
