Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8408710217755444,0.8586387434554974,0.8671328671328671,0.8384879725085911,0.8745583038869258
Macro-Precision,0.9043137254901961,0.6851953601953603,0.7056309077141667,0.6707993197278911,0.731174905951852
Macro-Recall,0.5913964216710861,0.6907296077101219,0.6906956353120705,0.6944820351860296,0.6992509568038848
Macro-F1,0.6011772309086377,0.6876687772862636,0.6969361049621842,0.6795428041169354,0.7104908630118714
Time (seconds),409.3079,533.1095,534.7256,533.2738,535.3881
