Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.9272419627749577,0.9096989966555183,0.9072164948453608,0.8944805194805194,0.9159049360146252
Macro-Precision,0.764986205166792,0.741658837039357,0.7415607689801238,0.7070470971027852,0.7793067885499986
Macro-Recall,0.666375094055681,0.7887755484470671,0.7807160381644707,0.7609769767003155,0.802589996329421
Macro-F1,0.6702149633367268,0.7615339257594362,0.7573676656911882,0.7292905490843635,0.787187916639238
Time (seconds),631.4501,410.9345,413.4619,409.611,403.7399
