Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.9272419627749577,0.9026086956521739,0.9242105263157895,0.9123711340206185,0.9186991869918699
Macro-Precision,0.764986205166792,0.7180348733613339,0.7928571428571428,0.7746512746512746,0.7628368794326241
Macro-Recall,0.666375094055681,0.755633307065931,0.8152634402634403,0.7830857202039776,0.8037169650468883
Macro-F1,0.6702149633367268,0.7312231541578028,0.8012236043147274,0.7708250210577647,0.780473372781065
Time (seconds),695.445,395.7063,396.6646,398.1228,394.2113
