Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8492307692307692,0.9010819165378671,0.9037267080745341,0.9089506172839507,0.8873456790123457
Macro-Precision,0.559701760045883,0.7446743861378008,0.7811892760610709,0.7444468238477057,0.7262137647675143
Macro-Recall,0.5303887738670348,0.7512096900683858,0.7255549594259273,0.7633390361470654,0.6994354091751117
Macro-F1,0.539199541190447,0.7413007194825377,0.7501110504740268,0.753480940109324,0.7109267742423616
Time (seconds),245.5921,317.2989,329.4176,325.0361,342.5947
