Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8907692307692308,0.9225352112676056,0.9204946996466431,0.9030612244897959,0.9154411764705882
Macro-Precision,0.7612948143674401,0.8066783417847248,0.7989183194475166,0.7222387829005475,0.781489238988556
Macro-Recall,0.5854339199447894,0.7796908643387553,0.7305222275976994,0.7685692541856924,0.7184280857874988
Macro-F1,0.6009724214889208,0.7846462256400145,0.7384227713156063,0.741727949894393,0.7222175397522194
Time (seconds),472.1018,552.0628,554.8309,553.4108,559.0398
