Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.7857142857142857,0.8446170921198668,0.8579743888242142,0.821689259645464,0.8590522478736331
Macro-Precision,0.8497406883545496,0.6560094886777593,0.6547404771607827,0.6642960326751127,0.6518134855018426
Macro-Recall,0.6017791732077447,0.6607207494943043,0.6464102564102564,0.6722735397846972,0.6498758922380454
Macro-F1,0.5576871422011717,0.642326264475653,0.6169697631053322,0.6502700821103412,0.6228013723390561
Time (seconds),797.4954,926.2152,930.449,928.6835,934.4001
