Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8880866425992779,0.8680688336520076,0.8896396396396397,0.8549618320610687,0.8936170212765957
Macro-Precision,0.8007359924026591,0.7081619361031125,0.7488699040423179,0.689275464452411,0.7710295414462082
Macro-Recall,0.6670359777051379,0.6748100758197566,0.8077076358998884,0.7043690005646527,0.7978790756568533
Macro-F1,0.68665264584619,0.6799555148455821,0.7694106074626017,0.6941314913557163,0.7822797439092767
Time (seconds),591.2296,348.2929,348.7509,346.9727,344.7237
