Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.7857142857142857,0.8146341463414634,0.8371174728529122,0.8210922787193974,0.8366533864541833
Macro-Precision,0.8497406883545496,0.6608928692297279,0.6814098744112519,0.6955392623031734,0.6846782485424598
Macro-Recall,0.6017791732077447,0.6682147963521138,0.663014599962384,0.6885709808119631,0.6629395090661868
Macro-F1,0.5576871422011717,0.6445780806273746,0.6423528823707724,0.6700113424251356,0.6385272362875064
Time (seconds),796.8342,1057.043,1060.4339,1060.226,1058.9065
