Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.7906197654941374,0.864321608040201,0.8282828282828283,0.8609715242881072,0.8420168067226891
Macro-Precision,0.8861883476850938,0.7076615912426831,0.6571056111421197,0.7093187569993739,0.6655511155511156
Macro-Recall,0.5572186301340137,0.6783859854435049,0.6406267123647561,0.6758313924221055,0.6386175438203353
Macro-F1,0.5848935684895107,0.6891559990557673,0.6459331908500706,0.6877786451556943,0.6491356839626834
Time (seconds),435.1226,320.5198,365.9745,346.2354,377.0937
