Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.7508928571428571,0.7991071428571429,0.7983870967741935,0.7996422182468694,0.8039568345323741
Macro-Precision,0.6508878272632318,0.688390319440796,0.6754656985442066,0.6780097082837089,0.6996584433470829
Macro-Recall,0.549123495552067,0.6509026687598116,0.6385436239063181,0.6585741925592584,0.6425500021300162
Macro-F1,0.5173740861354155,0.6468860103744336,0.6243286780893538,0.6336074962675577,0.6262713742860471
Time (seconds),383.4245,488.1144,492.0294,500.1625,500.2302
