Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8492307692307692,0.9092307692307692,0.9038759689922481,0.916923076923077,0.9074074074074074
Macro-Precision,0.559701760045883,0.7568540914388339,0.7429847238542889,0.7650435860962177,0.7500737029614785
Macro-Recall,0.5303887738670348,0.7442350088183423,0.756696600593,0.7220640671727628,0.7070129217666427
Macro-F1,0.539199541190447,0.7484898738450402,0.7484072704100289,0.733689035052035,0.7259332069922703
Time (seconds),245.1375,393.2378,433.2384,421.2671,434.9187
