Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.6442006269592476,0.731974921630094,0.6891679748822606,0.7189952904238619,0.699685534591195
Macro-Precision,0.46073470970243285,0.7071282301499252,0.6779997428112962,0.6939002070816077,0.6452400256748082
Macro-Recall,0.5188782991202346,0.6600349867254334,0.5888478680817391,0.6500197830842992,0.610490117638623
Macro-F1,0.4709027453685855,0.6289537206303467,0.5511741462485306,0.6035280974998575,0.5676438429031591
Time (seconds),229.5547,293.3892,296.5547,298.7269,298.6225
