Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.807909604519774,0.8256880733944955,0.8477722772277227,0.8163471241170535,0.8425692695214105
Macro-Precision,0.6353237711811807,0.6973423389828005,0.7070722663016819,0.6722004007571316,0.708415804468436
Macro-Recall,0.6416264438805422,0.6899322337934127,0.7073748331826596,0.6898420815803039,0.7065903256539386
Macro-F1,0.5852538850562619,0.6582083042838898,0.6970426049421762,0.6607152716778056,0.6987400584559725
Time (seconds),1109.1493,644.8088,633.7825,645.8894,636.208
