Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.807909604519774,0.8273170731707317,0.8240647118301314,0.811787072243346,0.8264984227129337
Macro-Precision,0.6353237711811807,0.7085097630746704,0.6927090586986179,0.6880033329257588,0.6908950536458
Macro-Recall,0.6416264438805422,0.7000622926899732,0.701641609670065,0.6954952862647951,0.6990681755174508
Macro-F1,0.5852538850562619,0.6819895228483173,0.6859608124424276,0.6760858441800627,0.6826747993714869
Time (seconds),1104.1514,763.2828,755.6246,763.4988,747.912
