Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.8907692307692308,0.8956661316211878,0.9069020866773676,0.9047619047619048,0.9123376623376623
Macro-Precision,0.7612948143674401,0.7125132333450358,0.7207108207108207,0.7257539682539683,0.7617941306514092
Macro-Recall,0.5854339199447894,0.7439412048836543,0.712620203590431,0.7542108463771949,0.7183904914038667
Macro-F1,0.6009724214889208,0.7259511092646336,0.7104978119961833,0.7381951936018053,0.7214521761515947
Time (seconds),472.4425,635.5353,639.0098,634.1436,633.7424
