Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.6442006269592476,0.7382445141065831,0.7059748427672956,0.7429467084639498,0.7080062794348508
Macro-Precision,0.46073470970243285,0.7275727694860038,0.6887615128355868,0.7529102622061483,0.6985103660923646
Macro-Recall,0.5188782991202346,0.6743367325912301,0.6158290091371509,0.6769061945085518,0.6241027490123835
Macro-F1,0.4709027453685855,0.635140989463828,0.5813852093738193,0.6346838313242036,0.5782198334518608
Time (seconds),229.0052,375.9857,413.433,393.9599,419.76
