Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.7906197654941374,0.8492462311557789,0.8369747899159664,0.8341708542713567,0.8465430016863407
Macro-Precision,0.8861883476850938,0.6850605781765203,0.6690124573035966,0.650870632694823,0.6864541753241863
Macro-Recall,0.5572186301340137,0.6679618403968695,0.637713841804217,0.6493279829897641,0.6491108421255479
Macro-F1,0.5848935684895107,0.6751180193457004,0.6493175482671036,0.6500790887971352,0.6632202885466593
Time (seconds),435.2515,278.6893,287.745,286.894,290.1542
