Metric,Zero-Shot,Few-Shot (random),Few-Shot (random_equal),Few-Shot (simcse),Few-Shot (simcse_equal)
Accuracy,0.6849529780564263,0.8185483870967742,0.8344370860927153,0.7855822550831792,0.8282608695652174
Macro-Precision,0.6460853494623656,0.7389035861258084,0.739739474433352,0.6971356352445177,0.7565826330532213
Macro-Recall,0.5843282028145552,0.6976389552476508,0.666168144429014,0.6804278879750578,0.6580062293116481
Macro-F1,0.5235956897584589,0.6791723929553924,0.6448911930684921,0.639179024043143,0.630026455026455
Time (seconds),453.245,539.3107,543.1369,537.5726,540.8972
